date,areaType,areaCode,areaName,metric,age,rate,value
"2021-03-04",nation,E92000001,England,maleCases,"55_to_59",6309.6,121581
"2021-03-04",nation,E92000001,England,maleCases,"35_to_39",7529.3,143099
"2021-03-04",nation,E92000001,England,maleCases,"10_to_14",3736.6,67724
"2021-03-04",nation,E92000001,England,maleCases,"85_to_89",8102.6,28428
"2021-03-04",nation,E92000001,England,maleCases,"75_to_79",4242,38208
"2021-03-04",nation,E92000001,England,maleCases,"45_to_49",7698.5,130889
"2021-03-04",nation,E92000001,England,maleCases,"50_to_54",7341.7,135036
"2021-03-04",nation,E92000001,England,maleCases,"80_to_84",5449.8,34631
"2021-03-04",nation,E92000001,England,femaleCases,"20_to_24",12116.4,182051
"2021-03-04",nation,E92000001,England,femaleCases,"30_to_34",9799.6,183085
"2021-03-04",nation,E92000001,England,femaleCases,"40_to_44",8187.8,154302
