RegionType,Region,Week started,N only,OR only,S only,OR+N,OR+S,N+S,OR+N+S,Mean,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
EnglandRegion,Yorkshire and The Humber,1 February 2021,18,9,0,61,2,3,8,27.6,18.8,22.7,29.7,33.1,34.6
EnglandRegion,Yorkshire and The Humber,8 February 2021,23,5,0,64,0,0,7,29.2,19.3,25.5,31.9,33.7,34.7
EnglandRegion,Yorkshire and The Humber,15 February 2021,22,11,0,59,0,0,7,28.3,17.7,23.8,31.6,33.5,35.0
EnglandRegion,Yorkshire and The Humber,22 February 2021,22,13,0,57,0,0,9,26.8,15.4,17.6,28.9,33.7,34.8
EnglandRegion,East Midlands,21 September 2020,40,0,0,10,0,0,50,29.1,20.9,27.4,30.0,32.1,34.9
EnglandRegion,East Midlands,28 September 2020,26,0,0,10,0,0,65,27.6,20.2,22.7,28.8,32.1,34.6
EnglandRegion,East Midlands,5 October 2020,5,6,0,3,2,0,84,23.5,16.9,19.3,22.8,27.6,32.0
EnglandRegion,East Midlands,12 October 2020,9,7,0,7,0,3,74,26.2,16.6,21.9,27.1,31.5,32.8
EnglandRegion,East Midlands,19 October 2020,21,4,0,4,0,0,72,26.3,17.1,20.0,27.6,32.4,34.3
EnglandRegion,East Midlands,26 October 2020,12,5,0,9,0,1,73,26.0,16.2,21.1,26.8,32.1,34.0
EnglandRegion,East Midlands,2 November 2020,7,10,0,5,2,1,75,26.0,15.3,19.9,27.7,31.9,33.4
EnglandRegion,East Midlands,9 November 2020,16,4,0,9,1,4,65,26.5,17.0,20.9,28.7,32.1,34.0
EnglandRegion,East Midlands,16 November 2020,9,9,0,8,1,3,69,27.2,17.5,22.7,28.8,32.4,34.1
EnglandRegion,East Midlands,23 November 2020,25,10,0,7,1,1,54,29.8,21.0,26.9,32.0,33.8,34.7
EnglandRegion,East Midlands,30 November 2020,21,7,0,13,4,1,53,30.0,22.0,26.4,31.7,33.7,34.9
EnglandRegion,East Midlands,7 December 2020,19,6,0,20,1,0,53,28.3,18.5,25.2,29.6,33.6,34.8
EnglandRegion,East Midlands,14 December 2020,13,6,0,21,0,0,60,25.1,15.3,18.5,26.9,32.7,34.1
